,word,freq
135,preferred,14
136,mathematics computer,14
137,data files,14
138,big data,14
139,knowledge data,14
140,advanced knowledge,13
141,consideration employment,13
142,federal state,13
143,learn new,13
144,functional teams,13
145,time,13
146,multiple sources,13
147,truehealth insurancedental,13
148,make recommendations,13
149,insurancedental insurancevision,13
150,data research,13
151,root cause,13
152,analytical,13
153,create new,13
154,analytics team,13
155,execute data,13
156,manipulate data,13
157,insurancepaid time,13
158,quality,13
159,creating maintaining,13
160,risk management,12
161,research data,12
162,development,12
163,medical center,12
164,related quantitative,12
165,office suite,12
166,strong communication,12
167,include limited,12
168,united states,12
169,solutions,12
170,time management,12
171,years relevant,12
172,minimum qualifications,12
173,design development,12
174,tools,12
175,sql,12
176,knowledge sql,12
177,working fast,12
178,new data,12
179,plus knowledge,12
180,years analytical,12
181,building data,12
182,levels management,12
183,employer qualified,12
184,minority female,12
185,equivalent years,12
186,process,12
187,interview process,12
188,medical dental,12
189,type timetruesalary,12
190,functional specifications,12
191,technical,12
192,environment,12
193,provide,11
194,analyze interpret,11
195,data database,11
196,identifying trends,11
197,microsoft excel,11
198,degree analytical,11
199,strong attention,11
200,analytical problem,11
201,analytical field,11
202,paced highly,11
203,maintain balance,11
204,truejob type,11
205,accuracy strong,11
206,matrixed environment,11
207,requirements functional,11
208,develop,11
209,research,11
210,processes,11
211,opportunity,10
212,health,10
213,role,10
214,ensure,9
215,create,9
216,projects,9
217,analyze,9
218,excel,9
219,identify,9
220,communication,9
221,issues,9
222,able,8
223,services,8
224,client,8
225,design,8
226,level,8
227,responsibilities,8
228,performance,8
229,complex,8
230,software,8
231,employment,8
232,key,8
233,clients,8
234,project,8
235,maintain,8
236,computer,7
237,various,7
238,multiple,7
239,internal,7
240,field,7
241,use,7
242,database,7
243,office,7
244,results,7
245,high,7
246,statistical,7
247,needs,7
248,technology,7
249,manage,7
250,based,7
251,written,7
252,perform,7
253,equal,7
254,advanced,7
255,education,7
256,service,6
257,product,6
258,opportunities,6
259,customer,6
260,employer,6
261,responsible,6
262,disability,6
263,microsoft,6
264,assist,6
265,medical,6
266,marketing,6
267,operations,6
268,application,6
269,duties,6
270,bachelor,6
271,help,6
272,stakeholders,5
273,effectively,5
274,problem,5
275,trends,5
276,report,5
277,customers,5
278,include,5
279,applicants,5
280,excellent,5
281,security,5
282,plus,5
283,pos,5
284,communicate,5
285,understand,5
286,learn,5
287,best,5
288,drive,5
289,people,5
290,industry,5
291,problems,5
292,solving,5
293,programs,5
294,bi,5
295,models,5
296,trade,5
297,organization,5
298,risk,5
299,access,5
300,gender,5
301,employees,5
302,functional,4
303,program,4
304,providing,4
305,apply,4
306,veteran,4
307,tableau,4
308,insights,4
309,global,4
310,national,4
311,sources,4
312,applications,4
313,care,4
314,dialer,4
315,type,4
316,professional,4
317,attention,4
318,activities,4
319,meet,4
320,products,4
321,demonstrated,4
322,building,4
323,protected,4
324,training,4
325,databases,4
326,sales,4
327,improve,4
328,engineering,4
329,functions,4
330,recommendations,4
331,year,4
332,make,4
333,state,4
334,provides,4
335,finance,4
336,critical,4
337,employee,4
338,staff,4
339,department,4
340,strategic,4
341,following,4
342,decisions,4
343,modeling,4
344,com,4
345,areas,4
346,expertise,4
347,growth,4
348,benefits,4
349,accuracy,4
350,healthcare,4
351,strategy,4
352,minimum,4
353,intelligence,4
354,deliver,4
355,developing,4
356,practices,4
357,strategies,4
358,external,4
359,verbal,4
360,center,4
361,location,4
362,members,4
363,orientation,4
364,managing,4
365,procedures,4
