"","Metro","Month","Dimension","Job Openings","Median Base Pay"
"38","Atlanta","2016-03-28","Job Openings","92824.5",NA
"39","Atlanta","2016-04","Metro Median Base Pay",NA,"52001.666666666701"
"40","Atlanta","2016-04-04","Job Openings","91764.75",NA
"41","Atlanta","2016-04-11","Job Openings","90444.5",NA
"42","Atlanta","2016-04-18","Job Openings","88835",NA
"43","Atlanta","2016-04-25","Job Openings","88776.75",NA
"44","Atlanta","2016-05","Metro Median Base Pay",NA,"52029.333333333299"
"45","Atlanta","2016-05-02","Job Openings","88997.5",NA
"46","Atlanta","2016-05-09","Job Openings","89425.25",NA
"47","Atlanta","2016-05-16","Job Openings","90137.75",NA
"48","Atlanta","2016-05-23","Job Openings","90176.75",NA
"49","Atlanta","2016-05-30","Job Openings","90321",NA
"50","Atlanta","2016-06","Metro Median Base Pay",NA,"52518.666666666701"
"51","Atlanta","2016-06-06","Job Openings","90291.75",NA
"52","Atlanta","2016-06-13","Job Openings","90353.5",NA
"53","Atlanta","2016-06-20","Job Openings","91181.5",NA
"54","Atlanta","2016-06-27","Job Openings","91989",NA
"55","Atlanta","2016-07","Metro Median Base Pay",NA,"52630.666666666701"
"56","Atlanta","2016-07-04","Job Openings","92697.75",NA
"57","Atlanta","2016-07-11","Job Openings","93108.5",NA
"58","Atlanta","2016-07-18","Job Openings","93247.5",NA
"59","Atlanta","2016-07-25","Job Openings","93588.5",NA
"60","Atlanta","2016-08","Metro Median Base Pay",NA,"52666"
"61","Atlanta","2016-08-01","Job Openings","93822.75",NA
"62","Atlanta","2016-08-08","Job Openings","93868",NA
"63","Atlanta","2016-08-15","Job Openings","94281.5",NA
"64","Atlanta","2016-08-22","Job Openings","94866.5",NA
"65","Atlanta","2016-08-29","Job Openings","95844",NA
"66","Atlanta","2016-09","Metro Median Base Pay",NA,"52465"
"67","Atlanta","2016-09-05","Job Openings","96818.5",NA
"68","Atlanta","2016-09-12","Job Openings","98077.5",NA
"69","Atlanta","2016-09-19","Job Openings","99276.5",NA
"70","Atlanta","2016-09-26","Job Openings","100202.75",NA
"71","Atlanta","2016-10","Metro Median Base Pay",NA,"52634"
"72","Atlanta","2016-10-03","Job Openings","101197.5",NA
"73","Atlanta","2016-10-10","Job Openings","101582.75",NA
"74","Atlanta","2016-10-17","Job Openings","101883.5",NA
"75","Atlanta","2016-10-24","Job Openings","102247.5",NA
"76","Atlanta","2016-10-31","Job Openings","102325.75",NA
"77","Atlanta","2016-11","Metro Median Base Pay",NA,"52788.333333333299"
"78","Atlanta","2016-11-07","Job Openings","102184.5",NA
"79","Atlanta","2016-11-14","Job Openings","101937.5",NA
"80","Atlanta","2016-11-21","Job Openings","101384.5",NA
"81","Atlanta","2016-11-28","Job Openings","100733.5",NA
"82","Atlanta","2016-12","Metro Median Base Pay",NA,"52963"
"83","Atlanta","2016-12-05","Job Openings","99827",NA
"84","Atlanta","2016-12-12","Job Openings","98909.75",NA
"85","Atlanta","2016-12-19","Job Openings","97001",NA
"86","Atlanta","2016-12-26","Job Openings","95017",NA
"87","Atlanta","2017-01","Metro Median Base Pay",NA,"53123.333333333299"
"88","Atlanta","2017-01-02","Job Openings","93500.25",NA
"89","Atlanta","2017-01-09","Job Openings","92217.75",NA
"90","Atlanta","2017-01-16","Job Openings","92112.25",NA
"91","Atlanta","2017-01-23","Job Openings","92652.75",NA
"92","Atlanta","2017-01-30","Job Openings","93264.5",NA
"93","Atlanta","2017-02","Metro Median Base Pay",NA,"53213.666666666701"
"94","Atlanta","2017-02-06","Job Openings","93560",NA
"95","Atlanta","2017-02-13","Job Openings","94105.25",NA
"96","Atlanta","2017-02-20","Job Openings","95063.75",NA
"97","Atlanta","2017-02-27","Job Openings","96269",NA
"98","Atlanta","2017-03","Metro Median Base Pay",NA,"53195.666666666701"
"99","Atlanta","2017-03-06","Job Openings","97297",NA
"100","Atlanta","2017-03-13","Job Openings","98400",NA
"101","Atlanta","2017-03-20","Job Openings","99075.25",NA
"102","Atlanta","2017-03-27","Job Openings","99337.25",NA
"103","Atlanta","2017-04","Metro Median Base Pay",NA,"53255.666666666701"
"104","Atlanta","2017-04-03","Job Openings","99653.5",NA
"105","Atlanta","2017-04-10","Job Openings","99884.75",NA
"106","Atlanta","2017-04-17","Job Openings","100060.25",NA
"107","Atlanta","2017-04-24","Job Openings","100134.25",NA
"108","Atlanta","2017-05","Metro Median Base Pay",NA,"53275"
"109","Atlanta","2017-05-01","Job Openings","100541.5",NA
"110","Atlanta","2017-05-08","Job Openings","100399.5",NA
"111","Atlanta","2017-05-15","Job Openings","99931",NA
"112","Atlanta","2017-05-22","Job Openings","99447.5",NA
"113","Atlanta","2017-05-29","Job Openings","98750.75",NA
"114","Atlanta","2017-06","Metro Median Base Pay",NA,"53388.666666666701"
"115","Atlanta","2017-06-05","Job Openings","98510",NA
"116","Atlanta","2017-06-12","Job Openings","98814",NA
"117","Atlanta","2017-06-19","Job Openings","99424.25",NA
"118","Atlanta","2017-06-26","Job Openings","100219.5",NA
"119","Atlanta","2017-07","Metro Median Base Pay",NA,"53317.666666666701"
"120","Atlanta","2017-07-03","Job Openings","100460.75",NA
"121","Atlanta","2017-07-10","Job Openings","100132.5",NA
"122","Atlanta","2017-07-17","Job Openings","99786.75",NA
"123","Atlanta","2017-07-24","Job Openings","99478.5",NA
"124","Atlanta","2017-07-31","Job Openings","99989.5",NA
"125","Atlanta","2017-08","Metro Median Base Pay",NA,"53353.333333333299"
"126","Atlanta","2017-08-07","Job Openings","100917",NA
"127","Atlanta","2017-08-14","Job Openings","101452.25",NA
"128","Atlanta","2017-08-21","Job Openings","101856.5",NA
"129","Atlanta","2017-08-28","Job Openings","102047.5",NA
"130","Atlanta","2017-09","Metro Median Base Pay",NA,"53421.666666666701"
"131","Atlanta","2017-09-04","Job Openings","101498.75",NA
"132","Atlanta","2017-09-11","Job Openings","101812.25",NA
"133","Atlanta","2017-09-18","Job Openings","102279.25",NA
"134","Atlanta","2017-09-25","Job Openings","102951.25",NA
"135","Atlanta","2017-10","Metro Median Base Pay",NA,"53488.666666666701"
"136","Atlanta","2017-10-02","Job Openings","104075.75",NA
"137","Atlanta","2017-10-09","Job Openings","104924.75",NA
"138","Atlanta","2017-10-16","Job Openings","106216.75",NA
"139","Atlanta","2017-10-23","Job Openings","107432.5",NA
"140","Atlanta","2017-10-30","Job Openings","108736.5",NA
"141","Atlanta","2017-11","Metro Median Base Pay",NA,"53623.333333333299"
"142","Atlanta","2017-11-06","Job Openings","108919.5",NA
"143","Atlanta","2017-11-13","Job Openings","108485.25",NA
"144","Atlanta","2017-11-20","Job Openings","107946",NA
"145","Atlanta","2017-11-27","Job Openings","107239.75",NA
"146","Atlanta","2017-12","Metro Median Base Pay",NA,"53782"
"147","Atlanta","2017-12-04","Job Openings","108713.5",NA
"148","Atlanta","2017-12-11","Job Openings","108739.25",NA
"149","Atlanta","2017-12-18","Job Openings","108434",NA
"150","Atlanta","2017-12-25","Job Openings","107652.5",NA
"151","Atlanta","2018-01","Metro Median Base Pay",NA,"53962.666666666701"
"152","Atlanta","2018-01-01","Job Openings","105736",NA
"153","Atlanta","2018-01-08","Job Openings","105850.75",NA
"154","Atlanta","2018-01-15","Job Openings","105723",NA
"155","Atlanta","2018-01-22","Job Openings","106636.75",NA
"156","Atlanta","2018-01-29","Job Openings","107394.25",NA
"157","Atlanta","2018-02","Metro Median Base Pay",NA,"54002.666666666701"
"158","Atlanta","2018-02-05","Job Openings","107647",NA
"159","Atlanta","2018-02-12","Job Openings","108440.75",NA
"160","Atlanta","2018-02-19","Job Openings","108765.75",NA
"161","Atlanta","2018-02-26","Job Openings","108988.25",NA
"162","Atlanta","2018-03","Metro Median Base Pay",NA,"54137"
"163","Atlanta","2018-03-05","Job Openings","109843.75",NA
"164","Atlanta","2018-03-12","Job Openings","110684.25",NA
"165","Atlanta","2018-03-19","Job Openings","111197.5",NA
"166","Atlanta","2018-03-26","Job Openings","111637",NA
"167","Atlanta","2018-04","Metro Median Base Pay",NA,"54210.666666666701"
"168","Atlanta","2018-04-02","Job Openings","111361.5",NA
"169","Atlanta","2018-04-09","Job Openings","111005.25",NA
"170","Atlanta","2018-04-16","Job Openings","110998.75",NA
"171","Atlanta","2018-04-23","Job Openings","111321.5",NA
"172","Atlanta","2018-04-30","Job Openings","111808.75",NA
"173","Atlanta","2018-05","Metro Median Base Pay",NA,"54275.333333333299"
"174","Atlanta","2018-05-07","Job Openings","113499.75",NA
"175","Atlanta","2018-05-14","Job Openings","114499.75",NA
"176","Atlanta","2018-05-21","Job Openings","115034.25",NA
"177","Atlanta","2018-05-28","Job Openings","115397",NA
"178","Atlanta","2018-06","Metro Median Base Pay",NA,"54361"
"179","Atlanta","2018-06-04","Job Openings","113992.5",NA
"180","Atlanta","2018-06-11","Job Openings","113506",NA
"181","Atlanta","2018-06-18","Job Openings","113352.5",NA
"182","Atlanta","2018-06-25","Job Openings","113243",NA
"183","Atlanta","2018-07","Metro Median Base Pay",NA,"54369"
"184","Atlanta","2018-07-02","Job Openings","113384",NA
"185","Atlanta","2018-07-09","Job Openings","113450.5",NA
"186","Atlanta","2018-07-16","Job Openings","113644.5",NA
"187","Atlanta","2018-07-23","Job Openings","113858.75",NA
"188","Atlanta","2018-07-30","Job Openings","114235.25",NA
"189","Atlanta","2018-08","Metro Median Base Pay",NA,"54424.666666666701"
"190","Atlanta","2018-08-06","Job Openings","114824.5",NA
"191","Atlanta","2018-08-13","Job Openings","115242",NA
"192","Atlanta","2018-08-20","Job Openings","115634",NA
"193","Atlanta","2018-08-27","Job Openings","115919.25",NA
"194","Atlanta","2018-09","Metro Median Base Pay",NA,"54485"
"195","Atlanta","2018-09-03","Job Openings","115447.75",NA
"196","Atlanta","2018-09-10","Job Openings","115420.25",NA
"197","Atlanta","2018-09-17","Job Openings","115665.25",NA
"198","Atlanta","2018-09-24","Job Openings","116352.5",NA
"199","Atlanta","2018-10","Metro Median Base Pay",NA,"54880"
"200","Atlanta","2018-10-01","Job Openings","117920",NA
"201","Atlanta","2018-10-08","Job Openings","118230.75",NA
"202","Atlanta","2018-10-15","Job Openings","117980.5",NA
"203","Atlanta","2018-10-22","Job Openings","118013.75",NA
"204","Atlanta","2018-10-29","Job Openings","117705",NA
"205","Atlanta","2018-11","Metro Median Base Pay",NA,"55070"
"206","Atlanta","2018-11-05","Job Openings","118328.25",NA
"207","Atlanta","2018-11-12","Job Openings","119461.5",NA
"208","Atlanta","2018-11-19","Job Openings","120133.5",NA
"209","Atlanta","2018-11-26","Job Openings","120260.75",NA
"210","Atlanta","2018-12","Metro Median Base Pay",NA,"55289.333333333299"
"211","Atlanta","2018-12-03","Job Openings","120346.5",NA
"212","Atlanta","2018-12-10","Job Openings","120552.25",NA
"213","Atlanta","2018-12-17","Job Openings","120905",NA
"214","Atlanta","2018-12-24","Job Openings","120881.5",NA
"215","Atlanta","2018-12-31","Job Openings","120576",NA
"216","Atlanta","2019-01","Metro Median Base Pay",NA,"55177.666666666701"
"217","Atlanta","2019-01-07","Job Openings","121399.25",NA
"218","Atlanta","2019-01-14","Job Openings","121353.5",NA
"219","Atlanta","2019-01-21","Job Openings","122384.5",NA
"220","Atlanta","2019-01-28","Job Openings","124136.25",NA
"221","Atlanta","2019-02","Metro Median Base Pay",NA,"55184.666666666701"
"222","Atlanta","2019-02-04","Job Openings","124564",NA
"223","Atlanta","2019-02-11","Job Openings","125372.75",NA
"224","Atlanta","2019-02-18","Job Openings","125197.75",NA
"225","Atlanta","2019-02-25","Job Openings","124398.25",NA
"226","Atlanta","2019-03","Metro Median Base Pay",NA,"55173.666666666701"
"227","Atlanta","2019-03-04","Job Openings","123250.5",NA
"228","Atlanta","2019-03-11","Job Openings","122702.75",NA
"229","Atlanta","2019-03-18","Job Openings","123586.5",NA
"230","Atlanta","2019-03-25","Job Openings","124712.75",NA
"231","Atlanta","2019-04","Metro Median Base Pay",NA,"55301.333333333299"
"232","Atlanta","2019-04-01","Job Openings","126204.5",NA
"233","Atlanta","2019-04-08","Job Openings","127671",NA
"234","Atlanta","2019-04-15","Job Openings","128805",NA
"235","Atlanta","2019-04-22","Job Openings","129754.5",NA
"236","Atlanta","2019-04-29","Job Openings","130436",NA
"237","Atlanta","2019-05","Metro Median Base Pay",NA,"55335.666666666701"
"238","Atlanta","2019-05-06","Job Openings","130441.5",NA
"239","Atlanta","2019-05-13","Job Openings","130067.75",NA
"240","Atlanta","2019-05-20","Job Openings","129333.25",NA
"241","Atlanta","2019-05-27","Job Openings","128085",NA
"242","Atlanta","2019-06","Metro Median Base Pay",NA,"55235.333333333299"
"243","Atlanta","2019-06-03","Job Openings","127489",NA
"244","Atlanta","2019-06-10","Job Openings","127075.5",NA
"245","Atlanta","2019-06-17","Job Openings","126292.25",NA
"246","Atlanta","2019-06-24","Job Openings","125664.5",NA
"247","Atlanta","2019-07","Metro Median Base Pay",NA,"55402"
"248","Atlanta","2019-07-01","Job Openings","125650.5",NA
"249","Atlanta","2019-07-08","Job Openings","124827.25",NA
"250","Atlanta","2019-07-15","Job Openings","125338.5",NA
"251","Atlanta","2019-07-22","Job Openings","125790",NA
"252","Atlanta","2019-07-29","Job Openings","125286.75",NA
"253","Atlanta","2019-08","Metro Median Base Pay",NA,"55780.666666666701"
"254","Atlanta","2019-08-05","Job Openings","125735.25",NA
"255","Atlanta","2019-08-12","Job Openings","125532.75",NA
"256","Atlanta","2019-08-19","Job Openings","125728",NA
"257","Atlanta","2019-08-26","Job Openings","125995.5",NA
"258","Atlanta","2019-09","Metro Median Base Pay",NA,"56156"
"259","Atlanta","2019-09-02","Job Openings","125360",NA
"260","Atlanta","2019-09-09","Job Openings","124948.25",NA
"261","Atlanta","2019-09-16","Job Openings","124755.75",NA
"262","Atlanta","2019-09-23","Job Openings","124721",NA
"263","Atlanta","2019-09-30","Job Openings","125073.5",NA
"264","Atlanta","2019-10","Metro Median Base Pay",NA,"56066.333333333299"
"265","Atlanta","2019-10-07","Job Openings","124987",NA
"266","Atlanta","2019-10-14","Job Openings","123661.5",NA
"267","Boston","2014-03","Metro Median Base Pay",NA,"54440"
"268","Boston","2014-04","Metro Median Base Pay",NA,"54633.333333333299"
"269","Boston","2014-05","Metro Median Base Pay",NA,"54696.333333333299"
"270","Boston","2014-06","Metro Median Base Pay",NA,"54998"
"271","Boston","2014-07","Metro Median Base Pay",NA,"55188.666666666701"
"272","Boston","2014-08","Metro Median Base Pay",NA,"55394"
"273","Boston","2014-09","Metro Median Base Pay",NA,"55407.333333333299"
"274","Boston","2014-10","Metro Median Base Pay",NA,"55638.666666666701"
"275","Boston","2014-11","Metro Median Base Pay",NA,"55442.333333333299"
"276","Boston","2014-12","Metro Median Base Pay",NA,"55630.666666666701"
"277","Boston","2015-01","Metro Median Base Pay",NA,"55519.333333333299"
"278","Boston","2015-02","Metro Median Base Pay",NA,"55798.666666666701"
"279","Boston","2015-03","Metro Median Base Pay",NA,"55687"
"280","Boston","2015-04","Metro Median Base Pay",NA,"55540"
"281","Boston","2015-05","Metro Median Base Pay",NA,"55618"
"282","Boston","2015-06","Metro Median Base Pay",NA,"55778.333333333299"
"283","Boston","2015-07","Metro Median Base Pay",NA,"56212.666666666701"
"284","Boston","2015-08","Metro Median Base Pay",NA,"56273.666666666701"
"285","Boston","2015-09","Metro Median Base Pay",NA,"56360"
"286","Boston","2015-10","Metro Median Base Pay",NA,"56297"
"287","Boston","2015-11","Metro Median Base Pay",NA,"56374"
"288","Boston","2015-12","Metro Median Base Pay",NA,"56516"
"289","Boston","2016-01","Metro Median Base Pay",NA,"56771"
"290","Boston","2016-01-04","Job Openings",NA,NA
"291","Boston","2016-01-11","Job Openings",NA,NA
"292","Boston","2016-01-18","Job Openings",NA,NA
"293","Boston","2016-01-25","Job Openings","117473.25",NA
"294","Boston","2016-02","Metro Median Base Pay",NA,"57047.333333333299"
"295","Boston","2016-02-01","Job Openings","119064.75",NA
"296","Boston","2016-02-08","Job Openings","120477.75",NA
"297","Boston","2016-02-15","Job Openings","122227",NA
"298","Boston","2016-02-22","Job Openings","122885.5",NA
"299","Boston","2016-02-29","Job Openings","123571.75",NA
"300","Boston","2016-03","Metro Median Base Pay",NA,"57324"
"301","Boston","2016-03-07","Job Openings","124774",NA
"302","Boston","2016-03-14","Job Openings","125913.25",NA
"303","Boston","2016-03-21","Job Openings","127961.75",NA
"304","Boston","2016-03-28","Job Openings","127788.75",NA
"305","Boston","2016-04","Metro Median Base Pay",NA,"57783.333333333299"
"306","Boston","2016-04-04","Job Openings","126226",NA
"307","Boston","2016-04-11","Job Openings","124321.75",NA
"308","Boston","2016-04-18","Job Openings","122012.5",NA
"309","Boston","2016-04-25","Job Openings","121343.75",NA
"310","Boston","2016-05","Metro Median Base Pay",NA,"58099"
"311","Boston","2016-05-02","Job Openings","121716",NA
"312","Boston","2016-05-09","Job Openings","121761.25",NA
"313","Boston","2016-05-16","Job Openings","122043.75",NA
"314","Boston","2016-05-23","Job Openings","121630.5",NA
"315","Boston","2016-05-30","Job Openings","120291.25",NA
"316","Boston","2016-06","Metro Median Base Pay",NA,"58187.666666666701"
"317","Boston","2016-06-06","Job Openings","119188",NA
"318","Boston","2016-06-13","Job Openings","117935.75",NA
"319","Boston","2016-06-20","Job Openings","117555.5",NA
"320","Boston","2016-06-27","Job Openings","118026.5",NA
"321","Boston","2016-07","Metro Median Base Pay",NA,"57937.333333333299"
"322","Boston","2016-07-04","Job Openings","118134.75",NA
"323","Boston","2016-07-11","Job Openings","118201",NA
"324","Boston","2016-07-18","Job Openings","118215.5",NA
"325","Boston","2016-07-25","Job Openings","118248.25",NA
"326","Boston","2016-08","Metro Median Base Pay",NA,"57978.333333333299"
"327","Boston","2016-08-01","Job Openings","118985",NA
"328","Boston","2016-08-08","Job Openings","119414",NA
"329","Boston","2016-08-15","Job Openings","120397.75",NA
"330","Boston","2016-08-22","Job Openings","121520.75",NA
"331","Boston","2016-08-29","Job Openings","122379.25",NA
"332","Boston","2016-09","Metro Median Base Pay",NA,"58329.333333333299"
"333","Boston","2016-09-05","Job Openings","122937.75",NA
"334","Boston","2016-09-12","Job Openings","123420.75",NA
"335","Boston","2016-09-19","Job Openings","123917",NA
"336","Boston","2016-09-26","Job Openings","124349.25",NA
"337","Boston","2016-10","Metro Median Base Pay",NA,"58589.333333333299"
"338","Boston","2016-10-03","Job Openings","125074.5",NA
"339","Boston","2016-10-10","Job Openings","125034.75",NA
"340","Boston","2016-10-17","Job Openings","125331",NA
"341","Boston","2016-10-24","Job Openings","125541",NA
"342","Boston","2016-10-31","Job Openings","125863.25",NA
"343","Boston","2016-11","Metro Median Base Pay",NA,"58589.333333333299"
"344","Boston","2016-11-07","Job Openings","126381.25",NA
"345","Boston","2016-11-14","Job Openings","125817.5",NA
"346","Boston","2016-11-21","Job Openings","125317.25",NA
"347","Boston","2016-11-28","Job Openings","124627.75",NA
"348","Boston","2016-12","Metro Median Base Pay",NA,"58685.333333333299"
"349","Boston","2016-12-05","Job Openings","123683.5",NA
"350","Boston","2016-12-12","Job Openings","123188.5",NA
"351","Boston","2016-12-19","Job Openings","120878.5",NA
"352","Boston","2016-12-26","Job Openings","118371.75",NA
"353","Boston","2017-01","Metro Median Base Pay",NA,"58909.333333333299"
"354","Boston","2017-01-02","Job Openings","115727.5",NA
"355","Boston","2017-01-09","Job Openings","113470.5",NA
"356","Boston","2017-01-16","Job Openings","113290.75",NA
"357","Boston","2017-01-23","Job Openings","114119.5",NA
"358","Boston","2017-01-30","Job Openings","115258.25",NA
"359","Boston","2017-02","Metro Median Base Pay",NA,"59263.333333333299"
"360","Boston","2017-02-06","Job Openings","115835.5",NA
"361","Boston","2017-02-13","Job Openings","116226",NA
"362","Boston","2017-02-20","Job Openings","116413.25",NA
"363","Boston","2017-02-27","Job Openings","117033.25",NA
"364","Boston","2017-03","Metro Median Base Pay",NA,"59226.333333333299"
"365","Boston","2017-03-06","Job Openings","118257.5",NA
"366","Boston","2017-03-13","Job Openings","119704",NA
"367","Boston","2017-03-20","Job Openings","120761.5",NA
"368","Boston","2017-03-27","Job Openings","121564",NA
"369","Boston","2017-04","Metro Median Base Pay",NA,"59444"
"370","Boston","2017-04-03","Job Openings","121862",NA
"371","Boston","2017-04-10","Job Openings","122407",NA
"372","Boston","2017-04-17","Job Openings","123134.75",NA
"373","Boston","2017-04-24","Job Openings","123055.25",NA
"374","Boston","2017-05","Metro Median Base Pay",NA,"59427.666666666701"
"375","Boston","2017-05-01","Job Openings","123160.5",NA
"376","Boston","2017-05-08","Job Openings","122835.75",NA
"377","Boston","2017-05-15","Job Openings","122301.75",NA
"378","Boston","2017-05-22","Job Openings","122365",NA
"379","Boston","2017-05-29","Job Openings","122012.75",NA
"380","Boston","2017-06","Metro Median Base Pay",NA,"59495"
"381","Boston","2017-06-05","Job Openings","121467.25",NA
"382","Boston","2017-06-12","Job Openings","121050.25",NA
"383","Boston","2017-06-19","Job Openings","120814.5",NA
"384","Boston","2017-06-26","Job Openings","121356.5",NA
"385","Boston","2017-07","Metro Median Base Pay",NA,"59318"
"386","Boston","2017-07-03","Job Openings","121055.25",NA
"387","Boston","2017-07-10","Job Openings","120864",NA
"388","Boston","2017-07-17","Job Openings","120566",NA
"389","Boston","2017-07-24","Job Openings","119695.5",NA
"390","Boston","2017-07-31","Job Openings","119872.5",NA
"391","Boston","2017-08","Metro Median Base Pay",NA,"59369.666666666701"
"392","Boston","2017-08-07","Job Openings","120181",NA
"393","Boston","2017-08-14","Job Openings","120311.25",NA
"394","Boston","2017-08-21","Job Openings","120272.25",NA
"395","Boston","2017-08-28","Job Openings","120556.75",NA
"396","Boston","2017-09","Metro Median Base Pay",NA,"59399"
"397","Boston","2017-09-04","Job Openings","119340.75",NA
"398","Boston","2017-09-11","Job Openings","118801",NA
"399","Boston","2017-09-18","Job Openings","118990.25",NA
"400","Boston","2017-09-25","Job Openings","119046.5",NA
"401","Boston","2017-10","Metro Median Base Pay",NA,"59570.666666666701"
"402","Boston","2017-10-02","Job Openings","120704.75",NA
"403","Boston","2017-10-09","Job Openings","121600.25",NA
"404","Boston","2017-10-16","Job Openings","122862.5",NA
"405","Boston","2017-10-23","Job Openings","124472.75",NA
"406","Boston","2017-10-30","Job Openings","125821.25",NA
"407","Boston","2017-11","Metro Median Base Pay",NA,"59504"
"408","Boston","2017-11-06","Job Openings","126850.25",NA
"409","Boston","2017-11-13","Job Openings","127268.25",NA
"410","Boston","2017-11-20","Job Openings","127439.25",NA
"411","Boston","2017-11-27","Job Openings","127696",NA
"412","Boston","2017-12","Metro Median Base Pay",NA,"59734.666666666701"
"413","Boston","2017-12-04","Job Openings","129997.5",NA
"414","Boston","2017-12-11","Job Openings","130573",NA
"415","Boston","2017-12-18","Job Openings","130164.5",NA
"416","Boston","2017-12-25","Job Openings","128745",NA
"417","Boston","2018-01","Metro Median Base Pay",NA,"59668.333333333299"
"418","Boston","2018-01-01","Job Openings","126070",NA
"419","Boston","2018-01-08","Job Openings","125523.25",NA
"420","Boston","2018-01-15","Job Openings","125330.5",NA
"421","Boston","2018-01-22","Job Openings","126403.75",NA
"422","Boston","2018-01-29","Job Openings","127485.75",NA
"423","Boston","2018-02","Metro Median Base Pay",NA,"59807"
"424","Boston","2018-02-05","Job Openings","128457.75",NA
"425","Boston","2018-02-12","Job Openings","130021.75",NA
"426","Boston","2018-02-19","Job Openings","130976.5",NA
"427","Boston","2018-02-26","Job Openings","131661",NA
"428","Boston","2018-03","Metro Median Base Pay",NA,"59900.666666666701"
"429","Boston","2018-03-05","Job Openings","133028.5",NA
"430","Boston","2018-03-12","Job Openings","134149.25",NA
"431","Boston","2018-03-19","Job Openings","134946.5",NA
"432","Boston","2018-03-26","Job Openings","135682.5",NA
"433","Boston","2018-04","Metro Median Base Pay",NA,"60310.333333333299"
"434","Boston","2018-04-02","Job Openings","135784.5",NA
"435","Boston","2018-04-09","Job Openings","136067",NA
"436","Boston","2018-04-16","Job Openings","136107.75",NA
"437","Boston","2018-04-23","Job Openings","136491.5",NA
"438","Boston","2018-04-30","Job Openings","136678",NA
"439","Boston","2018-05","Metro Median Base Pay",NA,"60566.333333333299"
"440","Boston","2018-05-07","Job Openings","138384.75",NA
"441","Boston","2018-05-14","Job Openings","139532.75",NA
"442","Boston","2018-05-21","Job Openings","140584.25",NA
"443","Boston","2018-05-28","Job Openings","140951.25",NA
"444","Boston","2018-06","Metro Median Base Pay",NA,"60598.666666666701"
"445","Boston","2018-06-04","Job Openings","139041",NA
"446","Boston","2018-06-11","Job Openings","138739.5",NA
"447","Boston","2018-06-18","Job Openings","138427.5",NA
"448","Boston","2018-06-25","Job Openings","138295.25",NA
"449","Boston","2018-07","Metro Median Base Pay",NA,"60465.333333333299"
"450","Boston","2018-07-02","Job Openings","138206.25",NA
"451","Boston","2018-07-09","Job Openings","137654.75",NA
"452","Boston","2018-07-16","Job Openings","137046.25",NA
"453","Boston","2018-07-23","Job Openings","137180.5",NA
"454","Boston","2018-07-30","Job Openings","137828",NA
"455","Boston","2018-08","Metro Median Base Pay",NA,"60407"
"456","Boston","2018-08-06","Job Openings","139212.75",NA
"457","Boston","2018-08-13","Job Openings","140903.25",NA
