"","Metro","Dimension.Type","Month","Dimension","Measure","Value","YoY"
"2217","National","Timeseries","2016-07-25","Job Openings","Job Openings","4879800",NA
"2218","National","Timeseries","2016-08-01","Job Openings","Job Openings","4923528",NA
"2219","National","Timeseries","2016-08-08","Job Openings","Job Openings","4953099.75",NA
"2220","National","Timeseries","2016-08-15","Job Openings","Job Openings","4989148",NA
"2221","National","Timeseries","2016-08-22","Job Openings","Job Openings","5031922.5",NA
"2222","National","Timeseries","2016-08-29","Job Openings","Job Openings","5052032.25",NA
"2223","National","Timeseries","2016-09-05","Job Openings","Job Openings","5055282.75",NA
"2224","National","Timeseries","2016-09-12","Job Openings","Job Openings","5070472.5",NA
"2225","National","Timeseries","2016-09-19","Job Openings","Job Openings","5082840.25",NA
"2226","National","Timeseries","2016-09-26","Job Openings","Job Openings","5100581.5",NA
"2227","National","Timeseries","2016-10-03","Job Openings","Job Openings","5144968",NA
"2228","National","Timeseries","2016-10-10","Job Openings","Job Openings","5162448",NA
"2229","National","Timeseries","2016-10-17","Job Openings","Job Openings","5178268.25",NA
"2230","National","Timeseries","2016-10-24","Job Openings","Job Openings","5194242",NA
"2231","National","Timeseries","2016-10-31","Job Openings","Job Openings","5196310",NA
"2232","National","Timeseries","2016-11-07","Job Openings","Job Openings","5187996.25",NA
"2233","National","Timeseries","2016-11-14","Job Openings","Job Openings","5168496.75",NA
"2234","National","Timeseries","2016-11-21","Job Openings","Job Openings","5132550",NA
"2235","National","Timeseries","2016-11-28","Job Openings","Job Openings","5090358.25",NA
"2236","National","Timeseries","2016-12-05","Job Openings","Job Openings","5046687",NA
"2237","National","Timeseries","2016-12-12","Job Openings","Job Openings","4986258.25",NA
"2238","National","Timeseries","2016-12-19","Job Openings","Job Openings","4883099",NA
"2239","National","Timeseries","2016-12-26","Job Openings","Job Openings","4777044",NA
"2240","National","Timeseries","2017-01-02","Job Openings","Job Openings","4678004.5",NA
"2241","National","Timeseries","2017-01-09","Job Openings","Job Openings","4616297",NA
"2242","National","Timeseries","2017-01-16","Job Openings","Job Openings","4615625",NA
"2243","National","Timeseries","2017-01-23","Job Openings","Job Openings","4645237",NA
"2244","National","Timeseries","2017-01-30","Job Openings","Job Openings","4681411.75",NA
"2245","National","Timeseries","2017-02-06","Job Openings","Job Openings","4703888.25",NA
"2246","National","Timeseries","2017-02-13","Job Openings","Job Openings","4734469.5",NA
"2247","National","Timeseries","2017-02-20","Job Openings","Job Openings","4778231.75",NA
"2248","National","Timeseries","2017-02-27","Job Openings","Job Openings","4842016",NA
"2249","National","Timeseries","2017-03-06","Job Openings","Job Openings","4899050",NA
"2250","National","Timeseries","2017-03-13","Job Openings","Job Openings","4948715.75",NA
"2251","National","Timeseries","2017-03-20","Job Openings","Job Openings","4976159.75",NA
"2252","National","Timeseries","2017-03-27","Job Openings","Job Openings","4996253.25",NA
"2253","National","Timeseries","2017-04-03","Job Openings","Job Openings","5008828.5",NA
"2254","National","Timeseries","2017-04-10","Job Openings","Job Openings","5035875.25",NA
"2255","National","Timeseries","2017-04-17","Job Openings","Job Openings","5065023.25",NA
"2256","National","Timeseries","2017-04-24","Job Openings","Job Openings","5065928.5",NA
"2257","National","Timeseries","2017-05-01","Job Openings","Job Openings","5069365.5",NA
"2258","National","Timeseries","2017-05-08","Job Openings","Job Openings","5054696",NA
"2259","National","Timeseries","2017-05-15","Job Openings","Job Openings","5038312.25",NA
"2260","National","Timeseries","2017-05-22","Job Openings","Job Openings","5036293.75",NA
"2261","National","Timeseries","2017-05-29","Job Openings","Job Openings","5033729.25",NA
"2262","National","Timeseries","2017-06-05","Job Openings","Job Openings","5030568",NA
"2263","National","Timeseries","2017-06-12","Job Openings","Job Openings","5035661.75",NA
"2264","National","Timeseries","2017-06-19","Job Openings","Job Openings","5053485",NA
"2265","National","Timeseries","2017-06-26","Job Openings","Job Openings","5093502.5",NA
"2266","National","Timeseries","2017-07-03","Job Openings","Job Openings","5113351.5",NA
"2267","National","Timeseries","2017-07-10","Job Openings","Job Openings","5118388.5",NA
"2268","National","Timeseries","2017-07-17","Job Openings","Job Openings","5125151.75",NA
"2269","National","Timeseries","2017-07-24","Job Openings","Job Openings","5122059.5",NA
"2270","National","Timeseries","2017-07-31","Job Openings","Job Openings","5161232.75",NA
"2271","National","Timeseries","2017-08-07","Job Openings","Job Openings","5215619.5",NA
"2272","National","Timeseries","2017-08-14","Job Openings","Job Openings","5246188.75",NA
"2273","National","Timeseries","2017-08-21","Job Openings","Job Openings","5273576.25",NA
"2274","National","Timeseries","2017-08-28","Job Openings","Job Openings","5286734.25",NA
"2275","National","Timeseries","2017-09-04","Job Openings","Job Openings","5256745.75",NA
"2276","National","Timeseries","2017-09-11","Job Openings","Job Openings","5262946.25",NA
"2277","National","Timeseries","2017-09-18","Job Openings","Job Openings","5279278.75",NA
"2278","National","Timeseries","2017-09-25","Job Openings","Job Openings","5293234",NA
"2279","National","Timeseries","2017-10-02","Job Openings","Job Openings","5354533.75",NA
"2280","National","Timeseries","2017-10-09","Job Openings","Job Openings","5382200.25",NA
"2281","National","Timeseries","2017-10-16","Job Openings","Job Openings","5427810.25",NA
"2282","National","Timeseries","2017-10-23","Job Openings","Job Openings","5483133",NA
"2283","National","Timeseries","2017-10-30","Job Openings","Job Openings","5521343.5",NA
"2284","National","Timeseries","2017-11-06","Job Openings","Job Openings","5538958.75",NA
"2285","National","Timeseries","2017-11-13","Job Openings","Job Openings","5525203.25",NA
"2286","National","Timeseries","2017-11-20","Job Openings","Job Openings","5506291",NA
"2287","National","Timeseries","2017-11-27","Job Openings","Job Openings","5475832",NA
"2288","National","Timeseries","2017-12-04","Job Openings","Job Openings","5532745.25",NA
"2289","National","Timeseries","2017-12-11","Job Openings","Job Openings","5532676.5",NA
"2290","National","Timeseries","2017-12-18","Job Openings","Job Openings","5506403.5",NA
"2291","National","Timeseries","2017-12-25","Job Openings","Job Openings","5469649.75",NA
"2292","National","Timeseries","2018-01-01","Job Openings","Job Openings","5386388",NA
"2293","National","Timeseries","2018-01-08","Job Openings","Job Openings","5379534.25",NA
"2294","National","Timeseries","2018-01-15","Job Openings","Job Openings","5372220.25",NA
"2295","National","Timeseries","2018-01-22","Job Openings","Job Openings","5405094.5",NA
"2296","National","Timeseries","2018-01-29","Job Openings","Job Openings","5438705.25",NA
"2297","National","Timeseries","2018-02-05","Job Openings","Job Openings","5461294.5",NA
"2298","National","Timeseries","2018-02-12","Job Openings","Job Openings","5516347.25",NA
"2299","National","Timeseries","2018-02-19","Job Openings","Job Openings","5544236.5",NA
"2300","National","Timeseries","2018-02-26","Job Openings","Job Openings","5565915",NA
"2301","National","Timeseries","2018-03-05","Job Openings","Job Openings","5629050.75",NA
"2302","National","Timeseries","2018-03-12","Job Openings","Job Openings","5669891.75",NA
"2303","National","Timeseries","2018-03-19","Job Openings","Job Openings","5687848.75",NA
"2304","National","Timeseries","2018-03-26","Job Openings","Job Openings","5690646",NA
"2305","National","Timeseries","2018-04-02","Job Openings","Job Openings","5643371",NA
"2306","National","Timeseries","2018-04-09","Job Openings","Job Openings","5604839.75",NA
"2307","National","Timeseries","2018-04-16","Job Openings","Job Openings","5589124.5",NA
"2308","National","Timeseries","2018-04-23","Job Openings","Job Openings","5590597.5",NA
"2309","National","Timeseries","2018-04-30","Job Openings","Job Openings","5604337.25",NA
"2310","National","Timeseries","2018-05-07","Job Openings","Job Openings","5674167.25",NA
"2311","National","Timeseries","2018-05-14","Job Openings","Job Openings","5691850",NA
"2312","National","Timeseries","2018-05-21","Job Openings","Job Openings","5703925.5",NA
"2313","National","Timeseries","2018-05-28","Job Openings","Job Openings","5698284",NA
"2314","National","Timeseries","2018-06-04","Job Openings","Job Openings","5620564",NA
"2315","National","Timeseries","2018-06-11","Job Openings","Job Openings","5605665.75",NA
"2316","National","Timeseries","2018-06-18","Job Openings","Job Openings","5588633.5",NA
"2317","National","Timeseries","2018-06-25","Job Openings","Job Openings","5577136.75",NA
"2318","National","Timeseries","2018-07-02","Job Openings","Job Openings","5563599.75",NA
"2319","National","Timeseries","2018-07-09","Job Openings","Job Openings","5550879",NA
"2320","National","Timeseries","2018-07-16","Job Openings","Job Openings","5550044",NA
"2321","National","Timeseries","2018-07-23","Job Openings","Job Openings","5561652.75",NA
"2322","National","Timeseries","2018-07-30","Job Openings","Job Openings","5591510.25",NA
"2323","National","Timeseries","2018-08-06","Job Openings","Job Openings","5635684.75",NA
"2324","National","Timeseries","2018-08-13","Job Openings","Job Openings","5683736.5",NA
"2325","National","Timeseries","2018-08-20","Job Openings","Job Openings","5727009",NA
"2326","National","Timeseries","2018-08-27","Job Openings","Job Openings","5757930.5",NA
"2327","National","Timeseries","2018-09-03","Job Openings","Job Openings","5746374.75",NA
"2328","National","Timeseries","2018-09-10","Job Openings","Job Openings","5731305.25",NA
"2329","National","Timeseries","2018-09-17","Job Openings","Job Openings","5727113.5",NA
"2330","National","Timeseries","2018-09-24","Job Openings","Job Openings","5758089.25",NA
"2331","National","Timeseries","2018-10-01","Job Openings","Job Openings","5832545",NA
"2332","National","Timeseries","2018-10-08","Job Openings","Job Openings","5872922.5",NA
"2333","National","Timeseries","2018-10-15","Job Openings","Job Openings","5880540.25",NA
"2334","National","Timeseries","2018-10-22","Job Openings","Job Openings","5838088",NA
"2335","National","Timeseries","2018-10-29","Job Openings","Job Openings","5783498.5",NA
"2336","National","Timeseries","2018-11-05","Job Openings","Job Openings","5740828.5",NA
"2337","National","Timeseries","2018-11-12","Job Openings","Job Openings","5739642.25",NA
"2338","National","Timeseries","2018-11-19","Job Openings","Job Openings","5757284.75",NA
"2339","National","Timeseries","2018-11-26","Job Openings","Job Openings","5746900.75",NA
"2340","National","Timeseries","2018-12-03","Job Openings","Job Openings","5772720",NA
"2341","National","Timeseries","2018-12-10","Job Openings","Job Openings","5773296",NA
"2342","National","Timeseries","2018-12-17","Job Openings","Job Openings","5785323.25",NA
"2343","National","Timeseries","2018-12-24","Job Openings","Job Openings","5788112",NA
"2344","National","Timeseries","2018-12-31","Job Openings","Job Openings","5749563",NA
"2345","National","Timeseries","2019-01-07","Job Openings","Job Openings","5753892.5",NA
"2346","National","Timeseries","2019-01-14","Job Openings","Job Openings","5731225.5",NA
"2347","National","Timeseries","2019-01-21","Job Openings","Job Openings","5749390.5",NA
"2348","National","Timeseries","2019-01-28","Job Openings","Job Openings","5797358.25",NA
"2349","National","Timeseries","2019-02-04","Job Openings","Job Openings","5807978.5",NA
"2350","National","Timeseries","2019-02-11","Job Openings","Job Openings","5806987.5",NA
"2351","National","Timeseries","2019-02-18","Job Openings","Job Openings","5778159.75",NA
"2352","National","Timeseries","2019-02-25","Job Openings","Job Openings","5724917",NA
"2353","National","Timeseries","2019-03-04","Job Openings","Job Openings","5666133.5",NA
"2354","National","Timeseries","2019-03-11","Job Openings","Job Openings","5648529.5",NA
"2355","National","Timeseries","2019-03-18","Job Openings","Job Openings","5687517.25",NA
"2356","National","Timeseries","2019-03-25","Job Openings","Job Openings","5727834.25",NA
"2357","National","Timeseries","2019-04-01","Job Openings","Job Openings","5772859.5",NA
"2358","National","Timeseries","2019-04-08","Job Openings","Job Openings","5832665.25",NA
"2359","National","Timeseries","2019-04-15","Job Openings","Job Openings","5851460.5",NA
"2360","National","Timeseries","2019-04-22","Job Openings","Job Openings","5892786.75",NA
"2361","National","Timeseries","2019-04-29","Job Openings","Job Openings","5942876.25",NA
"2362","National","Timeseries","2019-05-06","Job Openings","Job Openings","5959560.5",NA
"2363","National","Timeseries","2019-05-13","Job Openings","Job Openings","5972971",NA
"2364","National","Timeseries","2019-05-20","Job Openings","Job Openings","5969090.75",NA
"2365","National","Timeseries","2019-05-27","Job Openings","Job Openings","5926628.75",NA
"2366","National","Timeseries","2019-06-03","Job Openings","Job Openings","5910707.5",NA
"2367","National","Timeseries","2019-06-10","Job Openings","Job Openings","5918127",NA
"2368","National","Timeseries","2019-06-17","Job Openings","Job Openings","5923879.5",NA
"2369","National","Timeseries","2019-06-24","Job Openings","Job Openings","5920922.25",NA
"2370","National","Timeseries","2019-07-01","Job Openings","Job Openings","5943304.75",NA
"2371","National","Timeseries","2019-07-08","Job Openings","Job Openings","5939810.5",NA
"2372","National","Timeseries","2019-07-15","Job Openings","Job Openings","5966786.25",NA
"2373","National","Timeseries","2019-07-22","Job Openings","Job Openings","6018815.5",NA
"2374","National","Timeseries","2019-07-29","Job Openings","Job Openings","6036433",NA
"2375","National","Timeseries","2019-08-05","Job Openings","Job Openings","6050810.25",NA
"2376","National","Timeseries","2019-08-12","Job Openings","Job Openings","6037661",NA
"2377","National","Timeseries","2019-08-19","Job Openings","Job Openings","6042184.75",NA
"2378","National","Timeseries","2019-08-26","Job Openings","Job Openings","6038378",NA
"2379","National","Timeseries","2019-09-02","Job Openings","Job Openings","6026060.75",NA
"2380","National","Timeseries","2019-09-09","Job Openings","Job Openings","6023699.25",NA
"2381","National","Timeseries","2019-09-16","Job Openings","Job Openings","6027816.75",NA
"2382","National","Timeseries","2019-09-23","Job Openings","Job Openings","6053585.25",NA
"2383","National","Timeseries","2019-09-30","Job Openings","Job Openings","6099545",NA
"2384","National","Timeseries","2019-10-07","Job Openings","Job Openings","6125649.75",NA
"2385","National","Timeseries","2019-10-14","Job Openings","Job Openings","6080862",NA
